WHO,Country,Checked,Death,TravelRisk,Class
Africa,Algeria,27973,1163,0.041575805240767885,1
Africa,Angola,950,41,0.0431578947368421,1
Africa,Benin,1770,35,0.01977401129943503,2
Africa,Botswana,739,2,0.0027063599458728013,2
Africa,Burkina Faso,1100,53,0.04818181818181818,1
Africa,Burundi,378,1,0.0026455026455026454,2
Africa,Cabo Verde,2328,22,0.009450171821305841,2
Africa,Cameroon,17110,391,0.022852133255406196,1
Africa,Central African Republic,4599,59,0.012828875842574472,2
Africa,Chad,922,75,0.08134490238611713,1
Africa,Comoros,354,7,0.01977401129943503,2
Africa,Congo (Brazzaville),3200,54,0.016875,2
Africa,Congo (Kinshasa),8844,208,0.023518769787426504,1
Africa,Cote d'Ivoire,15655,96,0.00613222612583839,2
Africa,Equatorial Guinea,3071,51,0.01660696841419733,2
Africa,Eritrea,265,0,0.0,2
Africa,Eswatini,2316,34,0.01468048359240069,2
Africa,Ethiopia,14547,228,0.015673334708187256,2
Africa,Gabon,7189,49,0.006815968841285297,2
Africa,Gambia,326,8,0.024539877300613498,1
Africa,Ghana,33624,168,0.004996431120628123,2
Africa,Guinea,7055,45,0.0063784549964564135,2
Africa,Guinea-Bissau,1954,26,0.01330603889457523,2
Africa,Kenya,17975,285,0.015855354659248956,2
Africa,Lesotho,505,12,0.023762376237623763,1
Africa,Liberia,1167,72,0.061696658097686374,1
Africa,Madagascar,9690,91,0.009391124871001032,2
Africa,Malawi,3664,99,0.027019650655021835,1
Africa,Mali,2513,124,0.04934341424592121,1
Africa,Mauritania,6208,156,0.025128865979381444,1
Africa,Mauritius,344,10,0.029069767441860465,1
Africa,Mozambique,1701,11,0.006466784244562022,2
Africa,Namibia,1843,8,0.004340748779164406,2
Africa,Niger,1132,69,0.060954063604240286,1
Africa,Nigeria,41180,860,0.020883924235065566,2
Africa,Rwanda,1879,5,0.0026609898882384245,2
Africa,Sao Tome and Principe,865,14,0.016184971098265895,2
Africa,Senegal,9764,194,0.019868906185989348,2
Africa,Seychelles,114,0,0.0,2
Africa,Sierra Leone,1783,66,0.03701626472237801,1
Africa,South Africa,452529,7067,0.015616678710093718,2
Africa,South Sudan,2305,46,0.019956616052060738,2
Africa,Tanzania,509,21,0.0412573673870334,1
Africa,Togo,874,18,0.020594965675057208,2
Africa,Uganda,1128,2,0.0017730496453900709,2
Africa,Western Sahara,10,1,0.1,1
Africa,Zambia,4552,140,0.030755711775043937,1
Africa,Zimbabwe,2704,36,0.013313609467455622,2
Americas,Antigua and Barbuda,86,3,0.03488372093023256,1
Americas,Argentina,167416,3059,0.01827184976346347,2
Americas,Bahamas,382,11,0.028795811518324606,1
Americas,Barbados,110,7,0.06363636363636363,1
Americas,Belize,48,2,0.041666666666666664,1
Americas,Bolivia,71181,2647,0.03718688975990784,1
Americas,Brazil,2442375,87618,0.03587409795793029,1
Americas,Canada,116458,8944,0.0768002198217383,1
Americas,Chile,347923,9187,0.02640526783225024,1
Americas,Colombia,257101,8777,0.034138334740043796,1
Americas,Costa Rica,15841,115,0.007259642699324538,2
Americas,Cuba,2532,87,0.034360189573459717,1
Americas,Dominica,18,0,0.0,2
Americas,Dominican Republic,64156,1083,0.01688072822495168,2
Americas,Ecuador,81161,5532,0.06816081615554269,1
Americas,El Salvador,15035,408,0.027136681077485868,1
Americas,Grenada,23,0,0.0,2
Americas,Guatemala,45309,1761,0.03886645037409786,1
Americas,Guyana,389,20,0.05141388174807198,1
Americas,Haiti,7340,158,0.021525885558583105,1
Americas,Honduras,39741,1166,0.029339976346845827,1
Americas,Jamaica,853,10,0.011723329425556858,2
Americas,Mexico,395489,44022,0.11131030193001576,1
Americas,Nicaragua,3439,108,0.03140447804594359,1
Americas,Panama,61442,1322,0.021516226685329255,2
Americas,Paraguay,4548,43,0.009454705364995602,2
Americas,Peru,389717,18418,0.047259934773181564,1
Americas,Saint Kitts and Nevis,17,0,0.0,2
Americas,Saint Lucia,24,0,0.0,2
Americas,Saint Vincent and the Grenadines,52,0,0.0,2
Americas,Suriname,1483,24,0.016183412002697236,2
Americas,Trinidad and Tobago,148,8,0.05405405405405406,1
Americas,US,4290259,148011,0.034499315775574385,1
Americas,Uruguay,1202,35,0.029118136439267885,1
Americas,Venezuela,15988,146,0.009131848886664998,2
Eastern Mediterranean,Afghanistan,36263,1269,0.03499434685492099,1
Eastern Mediterranean,Bahrain,39482,141,0.0035712476571602247,2
Eastern Mediterranean,Djibouti,5059,58,0.011464716347104172,2
