Country,Checked,Death
Oman,77058,393
Pakistan,274289,5842
Qatar,109597,165
Saudi Arabia,268934,2760
Somalia,3196,93
Sudan,11424,720
Syria,674,40
Tunisia,1455,50
United Arab Emirates,59177,345
West Bank and Gaza,10621,78
Yemen,1691,483
Albania,4880,144
Andorra,907,52
Armenia,37390,711
Austria,20558,713
Azerbaijan,30446,423
Belarus,67251,538
Belgium,66428,9822
Bosnia and Herzegovina,10498,294
Bulgaria,10621,347
Croatia,4881,139
Cyprus,1060,19
Czechia,15516,373
Denmark,13761,613
Estonia,2034,69
Finland,7398,329
France,220352,30212
Georgia,1137,16
Germany,207112,9125
Greece,4227,202
Greenland,14,0
Holy See,12,0
Hungary,4448,596
Iceland,1854,10
Ireland,25892,1764
Israel,63985,474
Italy,246286,35112
Kazakhstan,84648,585
Kosovo,7413,185
Kyrgyzstan,33296,1301
Latvia,1219,31
Liechtenstein,86,1
Lithuania,2019,80
Luxembourg,6321,112
Malta,701,9
Moldova,23154,748
Monaco,116,4
Montenegro,2893,45
Netherlands,53413,6160
North Macedonia,10213,466
Norway,9132,255
Poland,43402,1676
Portugal,50299,1719
Romania,45902,2206
Russia,816680,13334
San Marino,699,42
Serbia,24141,543
Slovakia,2181,28
Slovenia,2087,116
Spain,272421,28432
Sweden,79395,5700
Switzerland,34477,1978
Tajikistan,7235,60
Turkey,227019,5630
Ukraine,67096,1636
United Kingdom,301708,45844
Uzbekistan,21209,121
Bangladesh,226225,2965
Bhutan,99,0
Burma,350,6
India,1480073,33408
Indonesia,100303,4838
Maldives,3369,15
Nepal,18752,48
Sri Lanka,2805,11
Thailand,3297,58
Timor-Leste,24,0
Australia,15303,167
Brunei,141,3
Cambodia,226,0
China,86783,4656
Fiji,27,0
Japan,31142,998
Laos,20,0
Malaysia,8904,124
Mongolia,289,0
New Zealand,1557,22
Papua New Guinea,62,0
Philippines,82040,1945
Singapore,50838,27
South Korea,14203,300
Taiwan*,462,7
Vietnam,431,0
